Psalms_1_1_0_9040.wav|maaih orn lorqc nyei mienh se maiv muangx mienh waaic mienh nyei za eix
Psalms_1_2_9040_13360.wav|maiv yangh zuiz mienh nyei zaux mbiec
Psalms_1_3_13360_20160.wav|yaac maiv caux huotv tin hungh nyei mienh juangc jauv yangh
Psalms_1_4_20160_24440.wav|daaux nzuonx ninh a hneiv ziouv nyei leiz latc
Psalms_1_5_24440_28880.wav|ziu yiex fei fangv ninh nyei leiz
Psalms_1_6_28880_33920.wav|ninh se hnangv diuh ndiangx zuangx wuov ndoqv hlen
Psalms_1_7_33920_36440.wav|ziux ziangh hoc cuotv biouv
Psalms_1_8_36440_39160.wav|normh yaac maiv nqaai
Psalms_1_9_39160_43360.wav|yiem ninh zoux nyei nyungc nyungc duqv longx
Psalms_1_10_43360_47720.wav|mv baac mienh waaic mienh zungv maiv hnangv naaic
Psalms_1_11_47720_52880.wav|ninh mbuo se hnangv mbieqv zuqc nziaaux buonc nzaanx mingh nor
Psalms_1_12_52880_61720.wav|taux siemv zuiz nyei ziangh hoc mienh waaic mienh oix zuqc tin hungh dingc zuiz
Psalms_1_13_61720_66680.wav|zuiz mienh yaac maiv duqv caux gapv zunv nyei kuv mienh yiem
Psalms_1_14_66680_71120.wav|weic zuqc ziouv ziux goux kuv mienh nyei jauv
Psalms_1_15_71120_79200.wav|mv baac orqv mienh nyei jauv louc zungv oix zuqc mietc
